index;x;y;z
0;0.125320;-0.947388;-0.251907
1;0.133560;-0.954697;-0.258987
2;0.126587;-0.949905;-0.266373
3;0.132965;-0.950012;-0.245682
4;0.145493;-0.951187;-0.257004
5;0.149582;-0.954361;-0.260956
6;0.157822;-0.952637;-0.247681
7;0.158005;-0.945786;-0.266678
8;0.127960;-0.946121;-0.263123
9;0.130112;-0.963226;-0.232452
10;0.130341;-0.949936;-0.248840
11;0.119095;-0.949951;-0.284103
12;0.116623;-0.958801;-0.238342
13;0.153381;-0.956467;-0.238342
14;0.164871;-0.946411;-0.268204
15;0.143585;-0.947952;-0.263947
16;0.147614;-0.934097;-0.304962
17;0.149246;-0.961639;-0.316406
18;0.133133;-0.941925;-0.269577
19;0.128799;-0.947754;-0.287704
20;0.101883;-0.931900;-0.285538
21;0.077362;-0.946182;-0.307098
22;0.061340;-0.943817;-0.309875
23;0.100250;-0.922119;-0.286011
24;0.117065;-0.961182;-0.273300
25;0.064789;-0.937790;-0.246384
26;0.094131;-0.952744;-0.242020
27;0.133331;-0.959717;-0.289902
28;0.095947;-0.910553;-0.278946
29;0.123489;-0.979767;-0.204285
30;0.178665;-0.958588;-0.173294
31;0.141785;-0.935364;-0.257858
32;0.182266;-0.866898;-0.267883
33;0.158264;-1.114746;-0.280396
34;0.205841;-1.090485;-0.238449
35;0.190903;-0.845001;-0.288116
36;0.093491;-1.023376;-0.318817
37;0.214554;-0.860291;-0.371384
38;0.226624;-0.876801;-0.414886
39;0.091354;-0.981903;-0.211914
40;0.218353;-0.917099;-0.235519
41;0.150864;-0.956421;-0.353287
42;0.053085;-0.936951;-0.318268
43;0.097198;-0.944702;-0.257416
44;0.103485;-0.915985;-0.281067
45;0.223984;-0.708221;-0.352264
46;0.154861;-1.205902;-0.287170
47;0.235260;-0.871719;-0.346985
48;0.114029;-0.963577;-0.315750
49;0.200256;-0.860947;-0.322495
50;0.205109;-0.984772;-0.325653
51;0.140671;-0.878311;-0.310562
52;0.207047;-0.959915;-0.267914
53;0.247284;-0.907150;-0.322266
54;0.274338;-0.869675;-0.476578
55;0.320831;-0.889297;-0.348328
56;0.312851;-0.926834;-0.212158
57;0.377136;-0.968002;-0.247513
58;0.358887;-0.851791;-0.241730
59;0.341156;-0.914841;-0.308838
60;0.223679;-0.956909;-0.425659
61;0.170288;-0.917892;-0.291748
62;0.233093;-0.907455;-0.171524
63;0.241379;-1.046402;-0.150818
64;0.200531;-0.959015;-0.156937
65;0.177353;-0.913116;-0.297668
66;0.149704;-1.011795;-0.332123
67;0.136063;-0.787186;-0.286987
68;0.103699;-1.024384;-0.283737
69;0.096756;-0.881149;-0.243423
70;0.148392;-1.112167;-0.334274
71;0.231506;-0.856949;-0.249329
72;0.298996;-1.059738;-0.266312
73;0.404755;-0.926147;-0.148315
74;0.369919;-0.949234;-0.179962
75;0.390762;-1.015335;-0.186035
76;0.352463;-0.870895;-0.093765
77;0.280594;-0.883438;-0.219070
78;0.352325;-0.898285;-0.280396
79;0.316818;-0.901489;-0.238510
80;0.289413;-0.897125;-0.200668
81;0.273788;-0.879517;-0.129578
82;0.274429;-0.842316;-0.026093
83;0.365921;-0.919769;-0.147568
84;0.565430;-0.881226;-0.164825
85;0.281631;-1.218735;-0.019257
86;0.211792;-0.839890;-0.001877
87;0.308594;-0.962845;-0.178528
88;0.088043;-1.092285;-0.250443
89;-0.064880;-0.887756;-0.170639
90;-0.084412;-0.948044;-0.000580
91;0.030762;-1.050720;0.127594
92;0.042725;-0.989822;0.105560
93;0.157547;-0.928345;-0.202820
94;0.476715;-1.224152;-0.263138
95;0.233521;-1.010635;-0.275131
96;0.219635;-0.866699;0.001221
97;0.127121;-1.110352;0.164413
98;-0.002579;-0.967163;0.240753
99;-0.045609;-1.210068;0.064316
100;0.001144;-0.781128;-0.051407
101;0.123352;-1.074371;-0.236664
102;0.254837;-0.769287;-0.010727
103;0.236557;-0.964508;-0.202423
104;0.245422;-1.198410;-0.059036
105;0.091629;-1.301956;0.215256
106;0.133652;-1.056061;0.200790
107;0.201691;-0.935654;0.000107
108;0.250381;-0.612320;-0.156540
109;0.193085;-1.189056;-0.504410
110;0.301208;-1.016891;-0.126602
111;0.373383;-0.977081;0.322189
112;0.270004;-1.216904;0.616013
113;0.235077;-1.078156;0.333969
114;0.363647;-0.939377;0.168472
115;0.221512;-1.067978;-0.007477
116;0.372345;-0.946503;0.194458
117;0.348999;-0.918472;0.362518
118;0.328598;-1.003098;0.317505
119;0.309250;-0.744461;0.234802
120;0.216141;-0.895554;-0.057205
121;0.140060;-0.777237;-0.315338
122;-0.033066;-1.392853;-0.342072
123;0.157242;-0.988632;-0.107986
124;0.245483;-0.972504;0.089584
125;0.316986;-0.994919;0.028046
126;0.546295;-0.935837;-0.204422
127;0.414169;-0.973389;-0.189499
128;0.425919;-0.782928;-0.154877
129;0.305664;-1.076324;-0.100037
130;0.253906;-1.032471;-0.146408
131;0.304901;-0.790970;-0.087143
132;0.316330;-1.020950;-0.102768
133;0.207520;-0.802292;-0.141296
134;0.102463;-0.986801;-0.155930
135;-0.031143;-0.896057;-0.196991
136;-0.091339;-0.942703;-0.283005
137;-0.199066;-0.861374;-0.361053
138;-0.085175;-0.866745;-0.413574
139;0.039108;-1.074310;-0.356567
140;-0.061722;-0.852203;-0.299240
141;-0.045944;-0.890732;-0.265640
142;0.145676;-0.971725;-0.270279
143;0.199539;-0.813934;-0.166565
144;0.032928;-1.167282;-0.091660
145;0.199966;-0.857941;-0.214798
146;0.193512;-1.058853;-0.249161
147;0.079697;-0.928818;-0.222504
148;0.011017;-0.927887;-0.127762
149;0.064728;-0.885971;-0.262222
150;0.009628;-0.892395;-0.219482
151;0.010818;-0.838791;-0.183594
152;-0.000229;-0.992249;-0.314835
153;-0.058945;-1.047943;-0.291855
154;0.022797;-0.911087;-0.252487
155;0.091385;-1.063339;-0.289246
156;0.120819;-1.025620;-0.245331
157;0.111221;-0.837601;-0.203140
158;-0.000244;-1.034180;-0.287003
159;0.036438;-0.839050;-0.229904
160;0.182144;-1.034790;-0.308701
161;0.034454;-1.098877;-0.253738
162;0.167969;-1.058426;-0.374573
163;-0.081787;-0.860153;-0.270828
164;0.036240;-1.085953;-0.283676
165;0.003708;-0.873428;-0.361404
166;0.075836;-1.128326;-0.285324
167;0.111328;-0.955795;-0.236923
168;0.013199;-0.727402;-0.305618
169;0.241165;-1.386765;-0.349945
170;0.207672;-0.690140;-0.321457
171;0.249847;-1.315308;-0.450439
172;0.395340;-0.972946;-0.255600
173;0.282898;-1.022079;-0.187729
174;0.362930;-0.937759;-0.102219
175;0.277252;-0.906387;-0.090256
176;0.236572;-1.138031;-0.117981
177;0.132141;-0.670792;-0.126785
178;0.154053;-1.247803;-0.104202
179;0.213226;-0.869415;-0.010193
180;0.253784;-1.233017;0.068314
181;0.287567;-0.848343;0.154617
182;0.277481;-0.907639;0.050201
183;0.312469;-1.059448;-0.024857
184;0.273865;-0.790131;0.016998
185;0.393478;-0.985687;-0.118576
186;0.225525;-0.993546;-0.021805
187;0.151947;-1.011826;-0.072098
188;0.248123;-0.637589;0.020218
189;0.229492;-1.311432;-0.147278
190;0.249130;-0.706619;-0.112442
191;0.197235;-1.180191;-0.152405
192;0.164093;-0.817245;-0.147186
193;0.114655;-1.002563;-0.197052
194;0.282776;-0.975235;-0.247696
195;0.170090;-0.840714;-0.149338
196;0.087280;-0.940659;-0.048157
197;0.142059;-0.835403;-0.094360
198;0.148865;-1.280670;-0.147125
199;0.122345;-0.774490;-0.180115
200;0.147903;-1.195633;-0.190094
201;0.199753;-0.856033;-0.252701
202;0.073105;-0.902634;-0.234726
203;0.197739;-1.108719;-0.253738
204;0.089111;-0.760559;-0.167450
205;-0.142563;-1.032669;-0.077942
206;-0.109756;-0.857910;-0.267761
207;-0.261017;-1.078735;-0.319534
208;0.083771;-0.912476;-0.448074
209;0.061050;-0.889313;-0.319656
210;-0.048874;-0.802383;-0.269089
211;0.109421;-1.343796;-0.345612
212;0.024002;-1.013657;-0.287949
213;0.028885;-0.701248;-0.261765
214;0.081039;-1.077057;-0.354279
215;0.111679;-0.963562;-0.299789
216;0.111862;-0.961105;-0.218735
217;0.216736;-0.995255;-0.244293
218;0.233612;-1.046249;-0.185272
219;0.098434;-0.860352;-0.131180
220;0.199112;-1.299591;-0.328033
221;0.200424;-0.850235;-0.385468
222;0.029434;-1.365616;-0.261902
223;0.214233;-0.469894;-0.189697
224;0.112625;-0.678070;-0.045868
225;0.320755;-2.073074;-0.365997
226;0.385605;-0.633087;-0.121948
227;0.104507;-0.828110;0.065720
228;0.293777;-0.971848;-0.173096
229;0.301453;-1.047058;-0.048203
230;0.191208;-0.809372;0.079117
231;0.209610;-1.116089;-0.034744
232;0.099991;-0.933624;0.017212
233;-0.026352;-0.996460;-0.046265
234;0.028793;-0.780594;-0.324066
235;0.159454;-0.904800;-0.398682
236;-0.063934;-1.236588;-0.202499
237;0.068420;-0.870987;-0.171265
238;0.230606;-1.101608;-0.270569
239;0.117218;-0.610794;-0.173828
240;0.293427;-1.319519;-0.336655
241;0.266098;-0.715134;-0.213242
242;0.146561;-1.039917;-0.126694
243;0.310150;-1.015411;-0.161224
244;0.197723;-0.931824;-0.032654
245;0.197205;-1.051620;-0.017502
246;0.199936;-0.849899;-0.153473
247;0.060181;-1.184357;-0.085876
248;0.136185;-0.791580;-0.131454
249;0.154449;-0.714722;-0.229004
250;-0.138962;-1.359161;-0.132553
251;0.180847;-0.746796;-0.358078
252;0.145325;-0.893723;-0.395554
253;-0.141479;-1.066406;-0.189758
254;0.016678;-0.849365;-0.216980
255;0.217438;-0.664413;-0.412155
256;0.045364;-1.246277;-0.219315
257;0.224396;-0.891708;-0.236313
258;0.142639;-1.051743;-0.122803
259;0.212708;-0.888794;-0.087494
