index;x;y;z
0;0.094437;1.038879;0.100464
1;0.062622;0.985992;0.094467
2;0.065903;0.980438;0.076508
3;0.064957;0.980316;0.088058
4;0.076645;0.998566;0.111603
5;0.070068;1.003464;0.082092
6;0.067062;0.990707;0.073425
7;0.076340;0.989059;0.092545
8;0.071884;0.993134;0.088333
9;0.072189;0.994843;0.065155
10;0.074509;0.991409;0.064896
11;0.083847;0.980270;0.078384
12;0.093140;0.986633;0.087479
13;0.069809;1.003464;0.081573
14;0.072571;0.990051;0.075882
15;0.067230;0.983215;0.068726
16;0.099838;1.015182;0.105423
17;0.063248;1.003967;0.080399
18;0.061920;0.996307;0.092728
19;0.075500;0.992554;0.096832
20;0.079376;0.990051;0.086136
21;0.071808;0.993546;0.091888
22;0.060242;0.987732;0.103287
23;0.060913;0.996368;0.095016
24;0.076462;0.998871;0.089767
25;0.078598;0.995804;0.080872
26;0.073792;1.002548;0.080582
27;0.043060;1.059418;0.106049
28;0.042343;1.096924;0.220718
29;-0.023788;0.964752;0.146622
30;-0.004288;0.961685;0.085724
31;0.126831;0.970062;0.076614
32;0.205185;0.957794;0.156342
33;0.054810;0.996902;0.146164
34;-0.081039;1.028320;0.180832
35;-0.012634;0.990875;0.214661
36;0.122803;0.889816;0.158661
37;0.095459;0.909470;0.194809
38;-0.027863;1.081741;0.211075
39;0.006607;1.101746;0.170135
40;0.107971;0.939453;0.151245
41;0.062408;0.960144;0.188507
42;0.008804;1.039612;0.190613
43;0.095474;1.021378;0.088181
44;0.134216;1.068985;0.158188
45;0.101364;1.024170;0.231094
46;0.052216;0.937820;0.164749
47;0.277786;0.924957;0.072693
48;0.401413;0.966782;0.087967
49;0.332321;0.943222;0.037720
50;0.127319;0.975143;-0.064407
51;-0.080063;1.017929;0.066803
52;-0.154099;0.986618;0.278275
53;-0.139496;1.026810;0.342987
54;-0.121399;1.034973;0.226913
55;-0.123047;1.112213;0.065201
56;0.127289;1.066818;0.104706
57;0.151611;1.044495;0.195236
58;0.119476;1.001282;0.175003
59;0.120926;1.059402;0.048233
60;0.075226;1.042221;0.042343
61;0.044556;0.991180;0.048462
62;-0.160339;0.946533;0.132584
63;-0.188202;0.934189;0.263458
64;-0.311737;0.967545;0.260818
65;-0.254440;1.053574;0.332199
66;-0.152771;1.102646;0.325760
67;-0.138138;1.052780;0.259964
68;-0.119781;0.995178;0.248764
69;-0.137024;0.895493;0.278748
70;-0.205521;0.838501;0.322418
71;-0.219955;0.741348;0.340057
72;-0.227905;0.656784;0.372986
73;-0.185516;0.666641;0.320648
74;-0.126938;0.751724;0.341797
75;-0.151306;0.799515;0.345306
76;-0.246643;0.766647;0.366653
77;-0.345642;0.780624;0.391769
78;-0.456070;0.793839;0.550049
79;-0.632202;0.961151;0.526825
80;-0.649277;1.077286;0.521149
81;-0.367767;0.784729;0.128403
82;-0.477310;0.965897;0.539322
83;-0.643356;0.895340;0.479691
84;-0.606857;0.912613;0.272293
85;-0.535629;0.734924;0.284668
86;-0.454651;0.743637;0.228973
87;-0.256882;0.716125;0.235764
88;-0.349655;0.432648;0.349869
89;-0.496155;0.935410;0.390015
90;-0.778976;0.744354;0.599869
91;-0.426453;0.937531;0.452011
92;-0.120895;1.064484;0.493195
93;-0.280640;0.836380;0.318710
94;-0.353882;0.776871;0.417877
95;-0.506104;0.859909;0.376602
96;-0.610458;0.814453;0.353821
97;-0.571640;0.681046;0.349869
98;-0.547272;0.769196;0.392410
99;-0.477234;0.782333;0.442627
100;-0.361893;0.632492;0.432968
101;-0.227966;0.561356;0.461395
102;-0.264008;0.655655;0.466064
103;-0.380981;0.977829;0.480820
104;-0.492310;1.163544;0.430588
105;-0.471863;1.075089;0.415390
106;-0.381134;0.924393;0.362778
107;-0.274872;0.712372;0.278610
