index;x;y;z
0;-0.037949;0.424362;-0.865448
1;-0.074738;0.458374;-0.884888
2;-0.107803;0.448059;-0.876862
3;-0.077423;0.443939;-0.907806
4;-0.075455;0.443939;-0.885864
5;-0.043045;0.437027;-0.916687
6;-0.047867;0.417282;-0.912109
7;-0.054352;0.427246;-0.826752
8;-0.090775;0.545761;-0.908157
9;-0.008392;0.423187;-0.863586
10;-0.047668;0.417023;-0.979401
11;-0.048523;0.431122;-0.948914
12;-0.066483;0.460632;-0.856964
13;-0.073044;0.482620;-0.831406
14;-0.062973;0.521149;-0.834351
15;-0.012772;0.370514;-0.843674
16;0.046677;0.324661;-1.118149
17;-0.009964;0.309204;-0.988953
18;-0.072968;0.460419;-0.924362
19;-0.163986;0.391541;-0.806229
20;-0.093597;0.368530;-0.774277
21;-0.117828;0.327957;-1.365921
22;-0.065796;0.207855;-1.426392
23;-0.028137;0.181808;-1.238220
24;-0.030670;0.142532;-0.790970
25;0.033661;0.269180;-0.642303
26;0.029190;0.438629;-0.864395
27;0.027542;0.204117;-0.955124
28;-0.096283;-0.102188;-1.011353
29;-0.300720;0.085159;-0.804810
30;-0.324753;0.343094;-0.771271
31;-0.217346;0.436615;-0.993286
32;0.054825;0.326187;-0.926346
33;0.164017;0.334000;-1.008408
34;0.239304;0.443436;-0.906509
35;0.284714;0.435440;-0.796967
36;0.164047;0.449829;-0.787827
37;-0.013107;0.246384;-0.927856
38;-0.117050;0.337341;-0.804733
39;0.120667;0.694534;-0.951797
40;0.320526;0.548584;-0.760315
41;0.446594;0.373367;-0.919647
42;0.305878;0.230545;-0.677582
43;0.157349;0.720673;-0.862579
44;-0.047577;0.738174;-0.914062
45;-0.155579;0.412430;-0.843872
46;-0.119751;0.113724;-0.849686
47;-0.049789;0.205429;-1.077637
48;0.033890;0.589371;-1.022034
49;0.000824;0.483963;-1.222641
50;-0.022354;0.458252;-0.996307
51;-0.094528;0.270218;-1.033630
52;-0.096558;0.142471;-0.841019
53;-0.185898;0.297440;-0.868271
54;-0.214706;0.436813;-0.817810
55;-0.000992;0.739243;-0.793976
56;0.263474;0.587601;-0.484467
57;-0.048538;0.597092;-1.187912
58;-0.003616;0.425110;-0.874451
59;-0.068314;0.466736;-0.741028
60;-0.358292;0.563263;-0.884033
61;-0.073273;0.408020;-0.604477
62;-0.241989;0.282898;-1.033966
63;0.053055;0.042709;-1.131393
64;-0.244080;-0.085861;-1.629379
65;-0.575104;-0.389313;-1.186218
66;-0.826630;-0.448013;-1.145569
67;-0.525925;-0.032227;-0.863953
68;-0.307327;0.283371;-0.915329
69;-0.234192;0.540421;-0.760712
70;-0.178375;0.517349;-0.719604
71;-0.187561;0.305283;-0.808578
72;-0.115356;0.359741;-0.734055
73;-0.235016;0.252823;-1.252533
74;-0.047485;0.710266;-0.734009
75;0.199600;0.879456;-0.460693
76;0.078171;0.262543;-1.144180
77;0.078613;0.264877;-1.155487
78;0.091354;0.544449;-0.849060
79;-0.051605;0.349060;-0.862106
80;-0.022354;0.377670;-0.603104
81;-0.024796;0.377808;-0.789200
82;0.133804;0.589325;-0.576050
83;0.167358;0.766800;-0.665268
84;0.429779;0.984970;-0.479660
85;0.756226;0.230362;-0.809799
86;0.686188;-0.012756;-0.879700
87;0.529388;0.351807;-0.948959
88;0.343414;0.694519;-0.672211
89;0.256546;1.045288;-0.196808
90;0.068008;0.611298;-0.751694
91;-0.012405;0.027756;-1.474396
92;0.004883;-0.044968;-1.112915
93;-0.094131;0.352997;-1.395920
94;0.059052;0.641510;-0.584549
95;-0.191437;0.633072;-1.041580
96;0.206238;0.238525;-0.525558
97;0.269058;0.392700;-0.976440
98;0.323563;0.431656;-0.931824
99;0.326401;0.521194;-1.175522
100;0.043854;0.268204;-1.348419
101;-0.362137;-0.160431;-0.998993
102;-0.582672;0.018097;-0.883408
103;-0.416229;0.328674;-1.094589
104;-0.081497;0.110382;-1.057495
105;0.111496;-0.031128;-1.128601
106;0.018387;0.099655;-1.083862
107;-0.127747;0.384155;-0.849182
108;-0.209808;0.126251;-0.693680
109;-0.038422;0.292542;-0.937881
110;0.156219;0.441650;-0.845123
111;0.073837;0.169861;-0.977463
112;-0.043900;0.214188;-0.912338
113;-0.217300;0.110565;-0.998337
114;-0.071472;0.812912;-0.718307
115;-0.010941;-0.012924;-0.975494
116;0.033432;0.102966;-1.226547
117;-0.089523;-0.015335;-1.034241
118;-0.042328;0.333115;-1.016846
119;-0.128082;-0.209045;-1.122482
120;-0.197006;0.239868;-1.195801
121;-0.213104;0.215942;-1.212418
122;-0.248840;0.408966;-1.101654
123;-0.164505;0.826157;-0.723343
124;-0.085419;0.743835;-0.597595
125;0.007568;0.728745;-0.828247
126;0.128403;0.049835;-0.806107
127;0.227646;-0.026337;-1.111938
128;0.241714;0.528503;-0.824966
129;0.186569;0.466751;-0.653214
130;0.244888;0.619293;-1.104050
131;0.378296;0.594666;-0.395279
132;0.230484;-0.086029;-1.500320
133;0.376419;0.371445;-0.887604
134;0.428467;0.033081;-0.955978
135;0.312744;0.245285;-0.904877
136;0.213989;0.409836;-0.693298
137;0.120621;0.476074;-0.836182
138;0.053726;0.156372;-0.761948
139;0.120773;0.270401;-0.847183
140;0.372269;0.402145;-0.794205
141;0.269394;0.102570;-1.062256
142;0.437225;0.525040;-0.851166
143;0.174942;0.158493;-1.136826
144;0.099258;0.644623;-0.878082
145;-0.115677;0.398651;-0.921783
146;-0.063156;0.619278;-0.666656
147;-0.035873;0.313324;-0.676193
148;0.197983;0.147186;-0.881226
149;0.108551;0.208130;-1.232574
150;0.175949;0.539185;-0.825363
151;-0.006775;0.541916;-0.752121
152;0.128067;0.923935;-0.486404
153;0.120071;0.432999;-0.498764
154;0.380981;0.381073;-0.836990
155;0.259857;0.701904;-1.338821
156;0.038483;0.650635;-1.630859
157;-0.317474;0.501450;-0.873856
158;-0.712402;0.200790;-1.047638
159;-0.822433;0.020126;-0.606613
160;-0.649857;0.071381;-1.022003
161;-0.223785;0.370789;-0.469955
162;-0.174454;0.148788;-0.960342
163;0.011017;0.296585;-1.607117
164;0.031830;0.657990;-0.516891
165;-0.102051;0.605774;-1.052887
166;-0.259644;0.425430;-1.080933
167;-0.399780;0.261414;-0.577530
168;-0.273911;0.581451;-0.737091
169;-0.117035;0.589264;-0.582458
170;0.179520;0.565598;-0.612976
171;0.280273;0.441650;-0.746918
172;0.225555;0.499649;-1.097504
173;0.253876;0.668808;-0.758255
174;-0.090073;0.060272;-1.150681
175;-0.144272;0.827759;-0.861710
176;-0.226257;0.385681;-0.724228
177;-0.197021;0.368530;-0.872833
178;-0.208557;0.454849;-0.947159
179;-0.193359;0.444489;-0.987335
180;-0.099167;0.512955;-0.949814
181;-0.029022;0.591080;-0.738480
182;-0.004501;0.454941;-0.761780
183;0.004166;0.526337;-1.007080
184;0.068634;0.686539;-0.627716
185;-0.011490;0.450668;-0.648148
186;-0.002029;0.189392;-0.924667
187;-0.046204;0.481293;-1.012497
188;-0.104507;0.771103;-0.920959
189;-0.049850;0.621872;-0.793427
190;0.001724;0.502838;-0.860931
191;0.042999;0.537323;-0.806076
192;-0.008957;0.746719;-0.969635
193;0.045715;0.448074;-1.053284
194;-0.137634;0.306763;-0.849854
195;-0.260223;0.626328;-1.291306
196;-0.083878;0.483658;-0.623108
197;-0.209442;0.252792;-1.105026
198;-0.064590;0.283127;-0.954407
199;-0.157623;0.849564;-0.720032
200;0.105606;0.318115;-0.784012
201;-0.106140;0.605438;-1.086929
202;-0.011002;0.683273;-0.669647
203;-0.071930;0.219696;-0.674500
204;-0.105530;0.356140;-1.161972
205;0.021530;0.775833;-0.587112
206;0.044937;0.475189;-0.915726
207;0.064896;0.736954;-0.835648
208;0.016388;0.312912;-0.681274
209;-0.019531;0.194839;-0.968353
210;0.064224;1.120621;-1.276657
211;0.074173;0.356903;-0.337662
212;-0.014160;0.151718;-1.269653
213;0.044525;0.520279;-0.794479
214;-0.092621;0.291748;-0.935699
215;0.079727;0.571747;-0.659332
216;0.005783;0.463730;-0.829697
217;0.090363;0.582657;-0.666199
218;0.169220;0.634415;-1.216522
219;0.197784;0.834122;-0.604202
220;0.060333;0.124283;-0.822906
221;0.143784;0.339706;-1.059860
222;0.051849;0.954941;-1.007919
223;0.154587;0.588669;-0.638779
224;-0.010178;-0.075073;-1.096970
225;0.066147;0.660858;-1.149689
226;0.123047;1.092972;-0.437531
227;-0.043961;-0.082031;-1.399551
228;-0.122437;0.325043;-0.758362
229;-0.279984;1.205307;-1.006683
230;0.155258;0.434998;-0.396561
231;0.113312;0.070343;-1.398682
232;0.197403;0.819153;-0.566391
233;0.216690;0.430771;-1.010345
234;-0.024063;0.036255;-1.557816
235;-0.242416;0.716644;-0.634186
236;-0.200241;0.487640;-0.719620
237;-0.186996;0.129074;-1.207581
238;-0.057526;0.298203;-0.906158
239;0.015457;0.116882;-0.854645
240;-0.108063;-0.119659;-1.515625
241;-0.096298;1.413986;-0.284470
242;0.013336;0.390762;-0.406693
243;-0.229095;-0.135895;-1.422516
244;-0.123749;0.281876;-0.771255
245;0.000610;0.601044;-0.761230
246;0.175995;0.673767;-0.682526
247;0.227264;0.668121;-0.471954
248;0.472580;0.486145;-0.665741
249;0.450226;0.313156;-1.578171
250;0.195923;0.072006;-0.492172
251;0.000198;0.525436;-0.987366
252;-0.034393;1.006836;-0.688416
253;-0.014679;0.268326;-0.923691
254;0.129608;0.423721;-0.466843
255;0.281372;0.262024;-1.315247
256;0.350830;0.565002;-0.805222
257;0.156891;0.271133;-0.617798
258;0.055496;0.272552;-1.424271
259;0.109070;1.103256;-0.047882
260;0.107269;0.529770;-0.897446
261;0.176453;0.264847;-0.649567
262;0.245544;0.296539;-1.510574
263;0.393860;0.968369;-0.339325
264;0.291168;0.178970;-1.035187
265;0.125626;-0.011627;-1.230286
266;0.030243;0.768753;-0.730835
267;0.071259;0.671173;-1.532104
268;0.115540;0.481873;-0.183792
269;-0.098770;0.246262;-1.084747
270;0.064102;0.416809;-0.778152
271;0.030228;0.543060;-1.031570
272;0.170471;0.559311;-0.686707
273;0.220978;0.773895;-0.834473
274;0.348160;0.311356;-0.867279
275;0.262482;0.054520;-1.156418
276;0.113159;0.445221;-1.330811
277;0.034164;1.024475;-0.441772
278;-0.075546;0.284958;-0.727600
279;-0.197861;-0.073624;-1.404465
280;-0.155396;0.642410;-1.057220
281;-0.073441;0.675812;-0.501175
282;0.038452;0.305725;-0.957626
283;0.102951;0.409470;-0.893311
284;0.108383;0.293701;-1.199051
285;0.111618;0.368683;-0.870636
286;0.032166;0.397186;-0.914505
287;0.010941;0.615417;-0.812256
288;-0.071716;0.254776;-0.985046
289;-0.150803;0.245209;-0.655197
290;-0.186996;0.727554;-0.891434
291;0.115372;0.778870;-0.588211
292;0.334488;0.502213;-0.863770
293;0.358795;0.344788;-1.157867
294;0.269043;0.346313;-0.986862
295;0.078415;0.370331;-0.915695
296;-0.054245;0.481064;-0.696930
297;-0.170303;0.419434;-1.058746
298;-0.129135;0.475281;-0.732239
299;-0.095169;0.356079;-0.860123
300;-0.037247;0.369965;-1.046524
301;0.036667;0.523514;-0.853989
302;0.008972;0.267471;-0.849213
303;-0.003494;0.370087;-1.130234
304;0.070297;0.681870;-0.782333
305;0.094437;0.510742;-0.747986
306;0.112610;0.275330;-0.903168
307;0.057617;0.376709;-0.900070
308;0.088776;0.554947;-0.945587
309;0.074554;0.732620;-0.544220
310;0.075516;0.427109;-0.887512
311;0.081390;0.235428;-0.863220
312;-0.011429;0.235153;-1.060562
313;-0.057602;0.530472;-0.757172
314;0.023529;0.658386;-0.827698
315;0.025772;0.403778;-1.069611
316;0.002777;0.411514;-0.982269
317;-0.084320;0.295013;-1.027313
318;-0.092163;0.405045;-0.980606
319;-0.072052;0.468674;-0.685303
320;-0.022751;0.234497;-0.772079
321;0.071106;0.483246;-0.936661
322;0.084106;0.571823;-0.867096
323;0.177521;0.531570;-0.761185
324;0.188965;0.585037;-0.836334
325;0.206680;0.439590;-0.861176
326;0.175446;0.627563;-0.650726
327;0.274124;0.570129;-0.712906
328;0.204742;0.302078;-0.833908
329;0.208359;0.413467;-0.894287
330;0.126556;0.570160;-0.830811
331;0.184753;0.697830;-0.720062
332;0.223755;0.499329;-0.715134
333;0.214310;0.383240;-1.144455
334;0.204468;0.686768;-0.832443
335;0.157166;0.519714;-1.017426
336;0.083969;0.332901;-0.538300
337;0.047318;0.156204;-1.952728
338;0.106171;1.029495;-0.163803
339;0.043625;0.156418;-0.765091
340;0.050964;-0.801117;-1.228088
341;-0.101822;0.873245;-1.302628
342;0.237671;1.336975;-0.445328
343;0.338013;0.421249;-0.594742
344;0.333160;0.431854;-0.741913
345;0.411560;0.196548;-1.101242
346;0.407288;0.356567;-2.033447
347;0.221375;0.880859;0.822678
348;-0.199326;-0.011383;-2.298309
349;0.370956;1.064346;0.137741
350;0.152985;0.406693;-0.875717
351;0.271454;0.130096;-0.683182
352;0.288162;0.661697;-0.408432
353;0.426727;0.515701;-0.986267
354;0.611420;0.995773;-0.298950
355;0.510986;0.087662;-1.085327
356;0.570221;0.581833;-0.786728
357;0.402573;0.521820;-0.902023
358;0.104538;-0.005096;-0.353745
359;0.193054;0.584564;-0.831406
360;0.310196;1.160614;-0.636322
361;0.429245;0.555557;-1.048737
