index;x;y;z
0;0.508514;-0.135986;-0.848083
1;0.485031;-0.160645;-0.807907
2;0.486221;-0.136215;-0.835938
3;0.518005;-0.134201;-0.833145
4;0.527191;-0.163864;-0.819031
5;0.536682;-0.159393;-0.828842
6;0.529922;-0.131348;-0.813828
7;0.547073;-0.190735;-0.801376
8;0.538116;-0.183945;-0.823502
9;0.532166;-0.215164;-0.806961
10;0.549866;-0.230438;-0.800568
11;0.563217;-0.199493;-0.813690
12;0.548141;-0.184677;-0.811447
13;0.533447;-0.187271;-0.811523
14;0.510605;-0.194901;-0.807297
15;0.516251;-0.185974;-0.818954
16;0.527603;-0.131958;-0.835968
17;0.533813;-0.193848;-0.801071
18;0.593765;-0.222748;-0.816299
19;0.536972;-0.203430;-0.793167
20;0.560287;-0.249115;-0.789261
21;0.557556;-0.202927;-0.785034
22;0.547424;-0.166595;-0.797318
23;0.544235;-0.231491;-0.767960
24;0.578201;-0.249832;-0.776901
25;0.646576;-0.218628;-0.814590
26;0.588120;-0.258438;-0.740433
27;0.567780;-0.215652;-0.800354
28;0.572800;-0.140396;-0.836319
29;0.567795;-0.184280;-0.783234
30;0.615402;-0.200806;-0.823318
31;0.636307;-0.226807;-0.820007
32;0.601364;-0.254333;-0.775558
33;0.587402;-0.252335;-0.761505
34;0.570068;-0.209854;-0.786118
35;0.554810;-0.212173;-0.767380
36;0.587662;-0.233734;-0.731918
37;0.549149;-0.213837;-0.782806
38;0.533310;-0.220764;-0.815018
39;0.526184;-0.246567;-0.854523
40;0.481125;-0.290375;-0.830704
41;0.513092;-0.328568;-0.769653
42;0.518845;-0.236465;-0.854050
43;0.494019;-0.219131;-0.895798
44;0.538818;-0.231384;-0.862808
45;0.637085;-0.259262;-0.747513
46;0.698700;-0.196289;-0.924820
47;0.661758;-0.201965;-0.878601
48;0.711578;-0.233505;-0.939835
49;0.603104;-0.240524;-0.903168
50;0.493362;-0.267624;-0.789597
51;0.465118;-0.155914;-0.774857
52;0.363312;0.051834;-0.939163
53;0.215988;0.106491;-0.846893
54;0.112762;0.113953;-0.729279
55;0.022903;0.265335;-0.896255
56;-0.024902;0.480667;-1.051712
57;-0.101120;0.495621;-0.953354
58;-0.140762;0.438599;-0.864349
59;-0.163406;0.475159;-0.881180
60;-0.143372;0.396378;-0.839844
61;-0.061005;0.416138;-0.865768
62;-0.036621;0.469864;-0.829834
63;-0.096176;0.461472;-0.733063
64;-0.106186;0.554733;-0.736740
65;-0.098938;0.697662;-0.994629
66;-0.164536;0.559616;-0.912994
67;-0.150635;0.308838;-0.788406
68;-0.100922;0.361847;-0.861099
69;-0.019165;0.437866;-0.969437
70;-0.026352;0.354965;-0.918457
71;-0.043716;0.359985;-0.830460
72;0.036911;0.498367;-0.908340
73;0.120499;0.603180;-1.049774
74;0.052277;0.459351;-0.989838
75;0.095016;0.383545;-0.915604
76;0.176224;0.376724;-0.880341
77;0.144165;0.449081;-0.864334
78;0.115280;0.330750;-0.771133
79;0.235062;0.235886;-0.785507
80;0.317719;0.221390;-0.910416
81;0.258392;0.249039;-0.994888
82;0.108200;0.302994;-1.014816
83;-0.071899;0.362183;-1.009140
84;-0.169876;0.452362;-1.103302
